node_id,x,y,z,ux,uy,uz,rx,ry,rz,disp_mag,rot_mag
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1000.0,0.0,0.0,0.26950110786451936,-0.05559363477981681,-0.23944038931615286,0.0,0.0,0.0,0.36476458079712976,0.0
3,2000.0,0.0,0.0,0.4642396205204069,0.0,0.0,0.0,0.0,0.0,0.4642396205204069,0.0
4,0.0,1000.0,0.0,-0.13665660489043446,0.17575110786451917,-0.1438316346148086,0.0,0.0,0.0,0.265049087324884,0.0
5,1000.0,1000.0,0.0,-0.06949642986607504,-0.004046853396081193,-2.0400450240635712,0.0,0.0,0.0,2.0412324294389106,0.0
6,2000.0,1000.0,0.0,0.05076238687254193,-0.031249999999999136,-3.51806479719594,0.0,0.0,0.0,3.518569780420776,0.0
7,0.0,2000.0,0.0,-0.33212449215097284,0.3227495451235457,0.0,0.0,0.0,0.0,0.46311332000277994,0.0
8,1000.0,2000.0,0.0,-0.33212449215097284,0.11794211413625766,-3.4374246462956988,0.0,0.0,0.0,3.455445733843115,0.0
9,2000.0,2000.0,0.0,-0.2928108822121375,0.00718692818259885,-5.910714350147754,0.0,0.0,0.0,5.917967049056723,0.0
10,0.0,0.0,1200.0,2.0750897276447073,1.6349024338107891,0.46285714285713603,0.0,0.0,0.0,2.6820029978638913,0.0
11,1000.0,0.0,1200.0,2.035529066829546,2.2739019831656293,0.0723633289004341,0.0,0.0,0.0,3.0527438907189866,0.0
12,2000.0,0.0,1200.0,2.091084622385101,2.804300959970749,-0.3849883573294613,0.0,0.0,0.0,3.519226450137522,0.0
13,0.0,1000.0,1200.0,2.365346137305429,1.5548130650456071,0.09293607574002599,0.0,0.0,0.0,2.832126962315811,0.0
14,1000.0,1000.0,1200.0,2.199841986071528,2.0644242975400995,-2.1636470947106807,0.0,0.0,0.0,3.71248181064999,0.0
15,2000.0,1000.0,1200.0,2.118640185567728,2.58710045832675,-3.6477183015350656,0.0,0.0,0.0,4.948492075848035,0.0
16,0.0,2000.0,1200.0,2.562893408171011,1.5548130650456073,-0.34855242916628565,0.0,0.0,0.0,3.017839472993992,0.0
17,1000.0,2000.0,1200.0,2.3931505837756415,1.9485157499599126,-3.5649139990994287,0.0,0.0,0.0,4.715134692184584,0.0
18,2000.0,2000.0,1200.0,2.288974835538692,2.4551469323120223,-5.996428635862037,0.0,0.0,0.0,6.871994517020278,0.0
