elem_id,type,node_i,node_j,Fx_i_local,Fy_i_local,Fz_i_local,Mx_i_local,My_i_local,Mz_i_local,Fx_j_local,Fy_j_local,Fz_j_local,Mx_j_local,My_j_local,Mz_j_local
101,3D_truss,1,2,-6.261243455607809,0.0,0.0,0.0,0.0,0.0,6.261243455607809,0.0,0.0,0.0,0.0,0.0
102,3D_truss,2,3,-5.3675146967437,0.0,0.0,0.0,0.0,0.0,5.3675146967437,0.0,0.0,0.0,0.0,0.0
103,3D_truss,3,4,-10.359356283506662,0.0,0.0,0.0,0.0,0.0,10.359356283506662,0.0,0.0,0.0,0.0,0.0
104,3D_truss,4,5,-10.492229267612913,0.0,0.0,0.0,0.0,0.0,10.492229267612913,0.0,0.0,0.0,0.0,0.0
105,3D_truss,5,6,-5.958824874121724,0.0,0.0,0.0,0.0,0.0,5.958824874121724,0.0,0.0,0.0,0.0,0.0
106,3D_truss,6,7,-6.876875333525831,0.0,0.0,0.0,0.0,0.0,6.876875333525831,0.0,0.0,0.0,0.0,0.0
107,3D_truss,1,8,9.258770649521571,0.0,0.0,0.0,0.0,0.0,-9.258770649521571,0.0,0.0,0.0,0.0,0.0
108,3D_truss,8,9,8.595266576362356,0.0,0.0,0.0,0.0,0.0,-8.595266576362356,0.0,0.0,0.0,0.0,0.0
109,3D_truss,9,10,9.38814881332075,0.0,0.0,0.0,0.0,0.0,-9.38814881332075,0.0,0.0,0.0,0.0,0.0
110,3D_truss,10,11,9.537588721254583,0.0,0.0,0.0,0.0,0.0,-9.537588721254583,0.0,0.0,0.0,0.0,0.0
111,3D_truss,11,12,8.86604415454915,0.0,0.0,0.0,0.0,0.0,-8.86604415454915,0.0,0.0,0.0,0.0,0.0
112,3D_truss,7,12,10.225310109292643,0.0,0.0,0.0,0.0,0.0,-10.225310109292643,0.0,0.0,0.0,0.0,0.0
113,3D_truss,2,8,-1.330455677038664,0.0,0.0,0.0,0.0,0.0,1.330455677038664,0.0,0.0,0.0,0.0,0.0
114,3D_truss,3,9,1.1506404597424194,0.0,0.0,0.0,0.0,0.0,-1.1506404597424194,0.0,0.0,0.0,0.0,0.0
115,3D_truss,4,10,-1.2296533215983771,0.0,0.0,0.0,0.0,0.0,1.2296533215983771,0.0,0.0,0.0,0.0,0.0
116,3D_truss,5,11,0.9991354053054096,0.0,0.0,0.0,0.0,0.0,-0.9991354053054096,0.0,0.0,0.0,0.0,0.0
117,3D_truss,6,12,-2.365297074128655,0.0,0.0,0.0,0.0,0.0,2.365297074128655,0.0,0.0,0.0,0.0,0.0
118,3D_truss,3,8,-7.393409035530425,0.0,0.0,0.0,0.0,0.0,7.393409035530425,0.0,0.0,0.0,0.0,0.0
119,3D_truss,4,9,-1.4872570692116227,0.0,0.0,0.0,0.0,0.0,1.4872570692116227,0.0,0.0,0.0,0.0,0.0
120,3D_truss,4,11,-1.282533572779876,0.0,0.0,0.0,0.0,0.0,1.282533572779876,0.0,0.0,0.0,0.0,0.0
121,3D_truss,5,12,-6.961857875547842,0.0,0.0,0.0,0.0,0.0,6.961857875547842,0.0,0.0,0.0,0.0,0.0
122,3D_truss,3,10,1.004677720311392,0.0,0.0,0.0,0.0,0.0,-1.004677720311392,0.0,0.0,0.0,0.0,0.0
123,3D_truss,5,10,0.724473186182415,0.0,0.0,0.0,0.0,0.0,-0.724473186182415,0.0,0.0,0.0,0.0,0.0
201,3D_truss,13,14,-6.25721524984072,0.0,0.0,0.0,0.0,0.0,6.25721524984072,0.0,0.0,0.0,0.0,0.0
202,3D_truss,14,15,-5.3610641412966755,0.0,0.0,0.0,0.0,0.0,5.3610641412966755,0.0,0.0,0.0,0.0,0.0
203,3D_truss,15,16,-10.401933730613512,0.0,0.0,0.0,0.0,0.0,10.401933730613512,0.0,0.0,0.0,0.0,0.0
204,3D_truss,16,17,-10.542972471320375,0.0,0.0,0.0,0.0,0.0,10.542972471320375,0.0,0.0,0.0,0.0,0.0
205,3D_truss,17,18,-5.995687177716761,0.0,0.0,0.0,0.0,0.0,5.995687177716761,0.0,0.0,0.0,0.0,0.0
206,3D_truss,18,19,-6.918509016649828,0.0,0.0,0.0,0.0,0.0,6.918509016649828,0.0,0.0,0.0,0.0,0.0
207,3D_truss,13,20,9.354517946977397,0.0,0.0,0.0,0.0,0.0,-9.354517946977397,0.0,0.0,0.0,0.0,0.0
208,3D_truss,20,21,8.660693185043009,0.0,0.0,0.0,0.0,0.0,-8.660693185043009,0.0,0.0,0.0,0.0,0.0
209,3D_truss,21,22,9.411973382158383,0.0,0.0,0.0,0.0,0.0,-9.411973382158383,0.0,0.0,0.0,0.0,0.0
210,3D_truss,22,23,9.562161098800937,0.0,0.0,0.0,0.0,0.0,-9.562161098800937,0.0,0.0,0.0,0.0,0.0
211,3D_truss,23,24,8.907023967117379,0.0,0.0,0.0,0.0,0.0,-8.907023967117379,0.0,0.0,0.0,0.0,0.0
212,3D_truss,19,24,10.287215742343665,0.0,0.0,0.0,0.0,0.0,-10.287215742343665,0.0,0.0,0.0,0.0,0.0
213,3D_truss,14,20,-1.3549801838224056,0.0,0.0,0.0,0.0,0.0,1.3549801838224056,0.0,0.0,0.0,0.0,0.0
214,3D_truss,15,21,1.1653835821392704,0.0,0.0,0.0,0.0,0.0,-1.1653835821392704,0.0,0.0,0.0,0.0,0.0
215,3D_truss,16,22,-1.2371736993361537,0.0,0.0,0.0,0.0,0.0,1.2371736993361537,0.0,0.0,0.0,0.0,0.0
216,3D_truss,17,23,1.0047825211256765,0.0,0.0,0.0,0.0,0.0,-1.0047825211256765,0.0,0.0,0.0,0.0,0.0
217,3D_truss,18,24,-2.3890086029644806,0.0,0.0,0.0,0.0,0.0,2.3890086029644806,0.0,0.0,0.0,0.0,0.0
218,3D_truss,15,20,-7.456017222243766,0.0,0.0,0.0,0.0,0.0,7.456017222243766,0.0,0.0,0.0,0.0,0.0
219,3D_truss,16,21,-1.5071789363507548,0.0,0.0,0.0,0.0,0.0,1.5071789363507548,0.0,0.0,0.0,0.0,0.0
220,3D_truss,16,23,-1.2901643234487778,0.0,0.0,0.0,0.0,0.0,1.2901643234487778,0.0,0.0,0.0,0.0,0.0
221,3D_truss,17,24,-6.99172448721151,0.0,0.0,0.0,0.0,0.0,6.99172448721151,0.0,0.0,0.0,0.0,0.0
222,3D_truss,15,22,1.0200727756831398,0.0,0.0,0.0,0.0,0.0,-1.0200727756831398,0.0,0.0,0.0,0.0,0.0
223,3D_truss,17,22,0.7192401549800138,0.0,0.0,0.0,0.0,0.0,-0.7192401549800138,0.0,0.0,0.0,0.0,0.0
301,3D_frame,2,25,-0.022397424009256345,0.8937287588641089,1.2804556770386697,-0.31312773033519775,-4.9262129654313425,2.981197999992315,0.022397424009256345,-0.8937287588641089,-1.1804556770386696,0.31312773033519775,-1.3093987530953608,1.4874457943282287
302,3D_frame,25,26,0.022422875667455135,-0.12036965561652702,0.21189688528779554,-0.08186279124984042,1.3177142193003466,-1.0468545893929626,-0.022422875667455135,0.12036965561652702,-0.11189688528779555,0.08186279124984042,-2.2105319790726363,0.4450063113103262
303,3D_frame,26,27,0.02242604554455441,0.12137267062152812,-0.1363705156489033,0.0815846626929621,2.21053775835721,-0.44497863512880365,-0.02242604554455441,-0.12137267062152812,0.23637051564890327,-0.0815846626929621,-1.362018513446041,1.0518419882364451
304,3D_frame,27,14,-0.0224514972027532,-0.8961511085440452,-1.2049801838224254,0.31340585889207606,1.353789663969285,-1.4929131121578871,0.0224514972027532,0.8961511085440452,1.3049801838224255,-0.31340585889207606,4.837777921809537,-2.9878424305623383
