node_id,x,y,z,Rx,Ry,Rz,Mx,My,Mz,reaction_force_mag,reaction_moment_mag
1,0.0,0.0,0.0,-0.03421176057165809,0.0,6.901927481333794,0.0,0.0,0.0,6.902012271950265,0.0
2,18.176,0.0,0.0,0.0,-0.022397424009256345,0.0,4.9262129654313425,-0.31312773033519775,2.981197999992316,0.022397424009256345,5.7665557026224
3,36.352,0.0,0.0,0.0,0.013845167128431833,0.0,13.674176533668637,-0.3718902025274933,2.093866837704823,0.013845167128431833,13.838557892017144
4,54.528,0.0,0.0,0.0,0.01664875319205219,0.0,12.440430598096507,-0.05853332059905905,0.013442062101534091,0.01664875319205219,12.440575561633379
5,72.704,0.0,0.0,0.0,0.01431679825574215,0.0,13.837648341289347,-0.09795404913866365,-2.031497734421686,0.01431679825574215,13.986317944973612
6,90.88,0.0,0.0,0.0,-0.022413294566969853,0.0,8.93490612937786,-0.14916638712973684,-3.057497556495825,0.022413294566969853,9.444738718451735
7,109.055,0.0,0.0,0.0,0.0,7.61740064211921,0.0,0.0,0.0,7.61740064211921,0.0
8,18.176,0.0,20.0,0.0,2.865579549314724,0.0,0.0,0.0,0.0,2.865579549314724,0.0
9,36.352,0.0,20.0,0.0,6.049746371372306,0.0,0.0,0.0,0.0,6.049746371372306,0.0
10,54.528,0.0,20.0,0.0,6.351508826839889,0.0,0.0,0.0,0.0,6.351508826839889,0.0
11,72.704,0.0,20.0,0.0,6.182479210761273,0.0,0.0,0.0,0.0,6.182479210761273,0.0
12,90.88,0.0,20.0,0.0,2.963317453308225,0.0,0.0,0.0,0.0,2.963317453308225,0.0
13,0.0,20.0,0.0,0.03421176057159059,0.0,6.972785002654395,0.0,0.0,0.0,6.972868931638072,0.0
14,18.176,20.0,0.0,0.0,0.0224514972027532,0.0,-4.837777921809537,-0.31340585889207606,-2.9878424305623383,0.0224514972027532,5.694692339626816
15,36.352,20.0,0.0,0.0,-0.013883025413735794,0.0,-13.542310837951979,-0.3721983610841645,-2.103395091909995,0.013883025413735794,13.70974052870354
16,54.528,20.0,0.0,0.0,-0.016781217402499243,0.0,-12.387995976840648,-0.058530269695181714,-0.013592065649652207,0.016781217402499243,12.388141703215188
17,72.704,20.0,0.0,0.0,-0.014466116630506193,0.0,-13.706831442328044,-0.0976751953208612,2.040829865399475,0.014466116630506193,13.858273888608208
18,90.88,20.0,0.0,0.0,0.022678862243988032,0.0,-8.838509253205862,-0.14895899861132275,3.0738398644367013,0.022678862243988032,9.358948985568473
19,109.055,20.0,0.0,0.0,0.0,7.663214873892518,0.0,0.0,0.0,7.663214873892518,0.0
20,18.176,20.0,20.0,0.0,-2.9107777780851585,0.0,0.0,0.0,0.0,2.9107777780851585,0.0
21,36.352,20.0,20.0,0.0,-6.019869928661197,0.0,0.0,0.0,0.0,6.019869928661197,0.0
22,54.528,20.0,20.0,0.0,-6.335308159955272,0.0,0.0,0.0,0.0,6.335308159955272,0.0
23,72.704,20.0,20.0,0.0,-6.160535900801641,0.0,0.0,0.0,0.0,6.160535900801641,0.0
24,90.88,20.0,20.0,0.0,-2.986139644093152,0.0,0.0,0.0,0.0,2.986139644093152,0.0
