elem_id,type,node_i,node_j,L,axial_i_local,axial_j_local,axial_abs_max,shear_y_abs_max,shear_z_abs_max,torsion_abs_max,moment_y_abs_max,moment_z_abs_max,moment_abs_max,stress_axial_i,stress_axial_j,stress_axial_abs_max
101,3D_truss,1,2,18.176,-6.261243455607809,6.261243455607809,6.261243455607809,0.0,0.0,0.0,0.0,0.0,0.0,-6.261243455607809,6.261243455607809,6.261243455607809
102,3D_truss,2,3,18.176,-5.3675146967437,5.3675146967437,5.3675146967437,0.0,0.0,0.0,0.0,0.0,0.0,-5.3675146967437,5.3675146967437,5.3675146967437
103,3D_truss,3,4,18.176000000000002,-10.359356283506662,10.359356283506662,10.359356283506662,0.0,0.0,0.0,0.0,0.0,0.0,-10.359356283506662,10.359356283506662,10.359356283506662
104,3D_truss,4,5,18.175999999999995,-10.492229267612913,10.492229267612913,10.492229267612913,0.0,0.0,0.0,0.0,0.0,0.0,-10.492229267612913,10.492229267612913,10.492229267612913
105,3D_truss,5,6,18.176000000000002,-5.958824874121724,5.958824874121724,5.958824874121724,0.0,0.0,0.0,0.0,0.0,0.0,-5.958824874121724,5.958824874121724,5.958824874121724
106,3D_truss,6,7,18.17500000000001,-6.876875333525831,6.876875333525831,6.876875333525831,0.0,0.0,0.0,0.0,0.0,0.0,-6.876875333525831,6.876875333525831,6.876875333525831
107,3D_truss,1,8,27.02530251449556,9.258770649521571,-9.258770649521571,9.258770649521571,0.0,0.0,0.0,0.0,0.0,0.0,9.258770649521571,-9.258770649521571,9.258770649521571
108,3D_truss,8,9,18.176,8.595266576362356,-8.595266576362356,8.595266576362356,0.0,0.0,0.0,0.0,0.0,0.0,8.595266576362356,-8.595266576362356,8.595266576362356
109,3D_truss,9,10,18.176000000000002,9.38814881332075,-9.38814881332075,9.38814881332075,0.0,0.0,0.0,0.0,0.0,0.0,9.38814881332075,-9.38814881332075,9.38814881332075
110,3D_truss,10,11,18.175999999999995,9.537588721254583,-9.537588721254583,9.537588721254583,0.0,0.0,0.0,0.0,0.0,0.0,9.537588721254583,-9.537588721254583,9.537588721254583
111,3D_truss,11,12,18.176000000000002,8.86604415454915,-8.86604415454915,8.86604415454915,0.0,0.0,0.0,0.0,0.0,0.0,8.86604415454915,-8.86604415454915,8.86604415454915
112,3D_truss,7,12,27.02462996971467,10.225310109292643,-10.225310109292643,10.225310109292643,0.0,0.0,0.0,0.0,0.0,0.0,10.225310109292643,-10.225310109292643,10.225310109292643
113,3D_truss,2,8,20.0,-1.330455677038664,1.330455677038664,1.330455677038664,0.0,0.0,0.0,0.0,0.0,0.0,-1.330455677038664,1.330455677038664,1.330455677038664
114,3D_truss,3,9,20.0,1.1506404597424194,-1.1506404597424194,1.1506404597424194,0.0,0.0,0.0,0.0,0.0,0.0,1.1506404597424194,-1.1506404597424194,1.1506404597424194
115,3D_truss,4,10,20.0,-1.2296533215983771,1.2296533215983771,1.2296533215983771,0.0,0.0,0.0,0.0,0.0,0.0,-1.2296533215983771,1.2296533215983771,1.2296533215983771
116,3D_truss,5,11,20.0,0.9991354053054096,-0.9991354053054096,0.9991354053054096,0.0,0.0,0.0,0.0,0.0,0.0,0.9991354053054096,-0.9991354053054096,0.9991354053054096
117,3D_truss,6,12,20.0,-2.365297074128655,2.365297074128655,2.365297074128655,0.0,0.0,0.0,0.0,0.0,0.0,-2.365297074128655,2.365297074128655,2.365297074128655
118,3D_truss,3,8,27.02530251449556,-7.393409035530425,7.393409035530425,7.393409035530425,0.0,0.0,0.0,0.0,0.0,0.0,-7.393409035530425,7.393409035530425,7.393409035530425
