node_id,x,y,z,Rx,Ry,Rz,Mx,My,Mz,reaction_force_mag,reaction_moment_mag
1,0.0,0.0,0.0,-3.1086244689504383e-15,0.0,-0.9087916587952547,0.0,0.0,0.0,0.9087916587952547,0.0
2,18.176,0.0,0.0,-2.220446049250313e-16,0.00011729449657343773,8.881784197001252e-16,-0.9158115048999544,0.04564421314026037,-0.2872914296570183,0.00011729449657343773,0.9609008649463722
3,36.352,0.0,0.0,0.0,-7.073266570827945e-05,0.0,-2.5814115240933333,0.004667136270104911,-0.19700048650681556,7.073266570827945e-05,2.588921866446871
4,54.528,0.0,0.0,0.0,-9.312467262753373e-05,0.0,-2.0935538857397145,-1.07904539685333e-07,8.790800217761685e-07,9.312467262753373e-05,2.093553885739902
5,72.704,0.0,0.0,0.0,-7.07314914340948e-05,3.552713678800501e-15,-2.5814114510621557,-0.004667533065300144,0.19700286621623775,7.07314914340948e-05,2.588921975424743
6,90.88,0.0,0.0,0.0,0.0001172943331964689,-1.7763568394002505e-15,-0.9158116342048448,-0.0456445585237828,0.28728815546304753,0.0001172943331964689,0.9609000256723588
7,109.055,0.0,0.0,8.881784197001252e-16,0.0,-0.9088083412047345,0.0,0.0,0.0,0.9088083412047345,0.0
8,18.176,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,36.352,0.0,20.0,8.881784197001252e-16,0.0,8.881784197001252e-16,0.0,0.0,0.0,1.2560739669470201e-15,0.0
10,54.528,0.0,20.0,0.0,0.0,3.552713678800501e-15,0.0,0.0,0.0,3.552713678800501e-15,0.0
11,72.704,0.0,20.0,1.7763568394002505e-15,0.0,-1.3322676295501878e-14,0.0,0.0,0.0,1.3440578383968888e-14,0.0
12,90.88,0.0,20.0,0.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,8.881784197001252e-16,0.0
13,0.0,20.0,0.0,-5.329070518200751e-15,0.0,-0.9087916587952565,0.0,0.0,0.0,0.9087916587952565,0.0
14,18.176,20.0,0.0,-2.220446049250313e-16,-0.00011729449657343553,-4.440892098500626e-15,0.9158115048999651,0.04564421314026035,0.28729142965701826,0.00011729449657343553,0.9609008649463824
15,36.352,20.0,0.0,8.881784197001252e-16,7.07326657082749e-05,3.552713678800501e-15,2.581411524093312,0.004667136270104907,0.1970004865068158,7.07326657082749e-05,2.58892186644685
16,54.528,20.0,0.0,-1.7763568394002505e-15,9.312467262752827e-05,7.105427357601002e-15,2.093553885739704,-1.0790453967415874e-07,-8.790800219982131e-07,9.312467262752827e-05,2.093553885739891
17,72.704,20.0,0.0,0.0,7.073149143410123e-05,0.0,2.5814114510621415,-0.0046675330653001305,-0.19700286621623908,7.073149143410123e-05,2.588921975424729
18,90.88,20.0,0.0,0.0,-0.00011729433319647035,0.0,0.9158116342048466,-0.045644558523782776,-0.2872881554630502,0.00011729433319647035,0.9609000256723612
19,109.055,20.0,0.0,8.881784197001252e-16,0.0,-0.9088083412047389,0.0,0.0,0.0,0.9088083412047389,0.0
20,18.176,20.0,20.0,1.7763568394002505e-15,0.0,4.440892098500626e-15,0.0,0.0,0.0,4.782987168225453e-15,0.0
21,36.352,20.0,20.0,1.7763568394002505e-15,0.0,-1.7763568394002505e-15,0.0,0.0,0.0,2.5121479338940403e-15,0.0
22,54.528,20.0,20.0,-8.881784197001252e-16,0.0,3.552713678800501e-15,0.0,0.0,0.0,3.66205343881779e-15,0.0
23,72.704,20.0,20.0,0.0,0.0,-8.881784197001252e-15,0.0,0.0,0.0,8.881784197001252e-15,0.0
24,90.88,20.0,20.0,0.0,0.0,-8.881784197001252e-16,0.0,0.0,0.0,8.881784197001252e-16,0.0
