elem_id,type,node_i,node_j,material,section,L,E,G,alpha,A,Iy,Iz,J
1,3D_frame,1,2,steel_frame,frame_sec,10.0,200000000.0,76923076.92307693,1.2e-05,0.00474,2.22e-05,2.22e-05,2.22e-05
2,3D_frame,2,3,steel_frame,frame_sec,8.0,200000000.0,76923076.92307693,1.2e-05,0.00474,2.22e-05,2.22e-05,2.22e-05
