node_id,x,y,z,ux,uy,uz,rx,ry,rz,disp_mag,rot_mag
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,18.176,0.0,0.0,3.7144960718413645e-05,0.0,-0.0003492729130894723,0.0,0.0,0.0,0.0003512425314861208,0.0
3,36.352,0.0,0.0,6.830067645725762e-05,0.0,-0.0006069141517267537,0.0,0.0,0.0,0.0006107452578372786,0.0
4,54.528,0.0,0.0,0.00014348150357979276,0.0,-0.0007641868008089299,0.0,0.0,0.0,0.0007775399722201459,0.0
5,72.704,0.0,0.0,0.00021857594091176044,0.0,-0.0006470338892255257,0.0,0.0,0.0,0.0006829555591338072,0.0
6,90.88,0.0,0.0,0.00025608370718748717,0.0,-0.0003866165654339984,0.0,0.0,0.0,0.0004637361682625885,0.0
7,109.055,0.0,0.0,0.000299856211588412,0.0,0.0,0.0,0.0,0.0,0.000299856211588412,0.0
8,18.176,0.0,20.0,0.00025554468650927604,0.0,-0.00034278819058762827,0.0,0.0,0.0,0.00042755915428097704,0.0
9,36.352,0.0,20.0,0.0002030270998224689,0.0,-0.0006071536153282864,0.0,0.0,0.0,0.0006401995906500812,0.0
10,54.528,0.0,20.0,0.00015040536750266764,0.0,-0.0007334602732859522,0.0,0.0,0.0,0.0007487227437859198,0.0
11,72.704,0.0,20.0,9.071851919212398e-05,0.0,-0.0006472733528270587,0.0,0.0,0.0,0.0006535997575002562,0.0
12,90.88,0.0,20.0,3.1068182824661065e-05,0.0,-0.0003750292256939297,0.0,0.0,0.0,0.0003763139010302636,0.0
13,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,18.176,20.0,0.0,3.7130361486115704e-05,0.0,-0.00035053629299275466,0.0,0.0,0.0,0.00035249731410209634,0.0
15,36.352,20.0,0.0,6.826103789441643e-05,0.0,-0.0006089426525547558,0.0,0.0,0.0,0.0006127566592007344,0.0
16,54.528,20.0,0.0,0.0001436486317429664,0.0,-0.0007666345830175658,0.0,0.0,0.0,0.0007799766107263367,0.0
17,72.704,20.0,0.0,0.00021894901019215945,0.0,-0.0006491218067350692,0.0,0.0,0.0,0.0006850531286280844,0.0
18,90.88,20.0,0.0,0.0002566066205088997,0.0,-0.0003880632830816363,0.0,0.0,0.0,0.00046523119990505435,0.0
19,109.055,20.0,0.0,0.00030054971436818174,0.0,0.0,0.0,0.0,0.0,0.00030054971436818174,0.0
20,18.176,20.0,20.0,0.0002559367283104977,0.0,-0.00034393197192425983,0.0,0.0,0.0,0.00042871063692191187,0.0
21,36.352,20.0,20.0,0.00020314619707204236,0.0,-0.0006091821161562886,0.0,0.0,0.0,0.0006421613722651705,0.0
22,54.528,20.0,20.0,0.0001504598114665812,0.0,-0.0007358176032477903,0.0,0.0,0.0,0.0007510430747406447,0.0
23,72.704,20.0,20.0,9.067676542989215e-05,0.0,-0.0006493612703366015,0.0,0.0,0.0,0.0006556617536519822,0.0
24,90.88,20.0,20.0,3.085720745012222e-05,0.0,-0.0003763607974457076,0.0,0.0,0.0,0.0003776236447914628,0.0
25,18.176,5.0,0.0,0.0001233601904889877,7.118909699060955e-08,-0.0003708557225665428,-5.505105406047501e-06,3.824952467058629e-05,-1.7323908661865166e-05,0.000390834630791233,4.234914561572795e-05
26,18.176,10.0,0.0,0.00016132208642800398,-4.844815959208882e-11,-0.0003859559207512343,-1.2598286828340086e-07,4.721694706147471e-05,-1.4264322476003096e-08,0.000418314222005922,4.721711728769666e-05
27,18.176,15.0,0.0,0.00012344153246875248,-7.129234832472429e-08,-0.0003718025686808416,5.316200970323421e-06,3.827627999900724e-05,1.7332369042104912e-05,0.0003917588124069514,4.2352645961391667e-05
28,36.352,5.0,0.0,0.00013094352511176138,-4.2657234984088124e-08,-0.0006642847592391557,-1.4450263309894161e-05,3.958920801795343e-05,-1.1273351825498987e-05,0.0006770675372115822,4.362572592628738e-05
29,36.352,10.0,0.0,0.0001552927061420269,5.7000266944716795e-11,-0.0007033344112387043,-1.8332033921105323e-07,5.2005862652780346e-05,-1.797219662874046e-08,0.0007202743356620532,5.200618885869714e-05
30,36.352,15.0,0.0,0.00013104150736577776,4.2770705216528424e-08,-0.0006657573034951814,1.4175300940502785e-05,3.9613908031807706e-05,1.1286913060498657e-05,0.0006785312561991551,4.3561396588511636e-05
31,54.528,5.0,0.0,0.0001445475777192695,-5.5163795872281505e-08,-0.0008761739224509193,-2.9040890156840823e-05,2.7131845357554992e-05,-1.78879685570585e-07,0.0008880173126975523,3.974345646203765e-05
32,54.528,10.0,0.0,0.00014490790775255346,1.3484171720519236e-10,-0.0009579744227415707,-2.1465518294824127e-07,3.8410804228025036e-05,-1.6958341447143986e-08,0.000968872177511712,3.841140775702678e-05
33,54.528,15.0,0.0,0.00014468508767826927,5.543370806603209e-08,-0.0008779340537142426,2.8718719233508686e-05,2.7132625051450428e-05,1.6466662167277564e-07,0.0008897763653528268,3.950912921961189e-05
34,72.704,5.0,0.0,0.00015826911870487438,-4.510332381035054e-08,-0.0007599642017914593,-2.9265692758230865e-05,9.81979424358882e-06,1.0898713955864335e-05,0.0007762697366086465,3.273669344172283e-05
35,72.704,10.0,0.0,0.00013436915891405164,1.2881178482747345e-10,-0.0008422869590154977,-1.87792720987165e-07,1.879923552631854e-05,-1.6820600601259757e-08,0.000852937507789909,1.8800180994146238e-05
36,72.704,15.0,0.0,0.00015844978401511502,4.536139752014597e-08,-0.0007614776920726106,2.898405166416747e-05,9.798484337602781e-06,-1.0939387969871387e-05,0.0007777882820127355,3.249239534630747e-05
37,90.88,5.0,0.0,0.00016627990651104909,7.173525767611065e-08,-0.0004258638721448938,-9.913291154668847e-06,3.809023825722709e-06,1.7963010089777535e-05,0.0004571750759320907,2.0867480334424862e-05
38,90.88,10.0,0.0,0.00012752382162403255,-2.72205609385279e-10,-0.00045268734179311926,-1.3972202810035629e-07,9.13354603140575e-06,-1.4717596245239262e-08,0.0004703064474376176,9.134626536459135e-06
39,90.88,15.0,0.0,0.00016648867613644656,-7.227346247798217e-08,-0.00042693669212747116,9.703760267884023e-06,3.7868567449604836e-06,-1.8029194673284156e-05,0.0004582503939876834,2.082198616632417e-05
