elem_id,type,node_i,node_j,Fx_i_local,Fy_i_local,Fz_i_local,Mx_i_local,My_i_local,Mz_i_local,Fx_j_local,Fy_j_local,Fz_j_local,Mx_j_local,My_j_local,Mz_j_local
101,3D_truss,1,2,-8.53418551717074,0.0,0.0,0.0,0.0,0.0,8.53418551717074,0.0,0.0,0.0,0.0,0.0
102,3D_truss,2,3,-7.158135394223837,0.0,0.0,0.0,0.0,0.0,7.158135394223837,0.0,0.0,0.0,0.0,0.0
103,3D_truss,3,4,-17.27305975262471,0.0,0.0,0.0,0.0,0.0,17.27305975262471,0.0,0.0,0.0,0.0,0.0
104,3D_truss,4,5,-17.253211394052435,0.0,0.0,0.0,0.0,0.0,17.253211394052435,0.0,0.0,0.0,0.0,0.0
105,3D_truss,5,6,-8.617541371447778,0.0,0.0,0.0,0.0,0.0,8.617541371447778,0.0,0.0,0.0,0.0,0.0
106,3D_truss,6,7,-10.057440350936012,0.0,0.0,0.0,0.0,0.0,10.057440350936012,0.0,0.0,0.0,0.0,0.0
107,3D_truss,1,8,12.641682570869156,0.0,0.0,0.0,0.0,0.0,-12.641682570869156,0.0,0.0,0.0,0.0,0.0
108,3D_truss,8,9,12.066100462373825,0.0,0.0,0.0,0.0,0.0,-12.066100462373825,0.0,0.0,0.0,0.0,0.0
109,3D_truss,9,10,12.090028288264193,0.0,0.0,0.0,0.0,0.0,-12.090028288264193,0.0,0.0,0.0,0.0,0.0
110,3D_truss,10,11,13.71326356430625,0.0,0.0,0.0,0.0,0.0,-13.71326356430625,0.0,0.0,0.0,0.0,0.0
111,3D_truss,11,12,13.704874816820261,0.0,0.0,0.0,0.0,0.0,-13.704874816820261,0.0,0.0,0.0,0.0,0.0
112,3D_truss,7,12,14.95453116514567,0.0,0.0,0.0,0.0,0.0,-14.95453116514567,0.0,0.0,0.0,0.0,0.0
113,3D_truss,2,8,-1.354010058385029,0.0,0.0,0.0,0.0,0.0,1.354010058385029,0.0,0.0,0.0,0.0,0.0
114,3D_truss,3,9,0.05000000000001137,0.0,0.0,0.0,0.0,0.0,-0.05000000000001137,0.0,0.0,0.0,0.0,0.0
115,3D_truss,4,10,-6.415698946797761,0.0,0.0,0.0,0.0,0.0,6.415698946797761,0.0,0.0,0.0,0.0,0.0
116,3D_truss,5,11,0.050000000000096634,0.0,0.0,0.0,0.0,0.0,-0.050000000000096634,0.0,0.0,0.0,0.0,0.0
117,3D_truss,6,12,-2.419436537726341,0.0,0.0,0.0,0.0,0.0,2.419436537726341,0.0,0.0,0.0,0.0,0.0
118,3D_truss,3,8,-10.744492742806656,0.0,0.0,0.0,0.0,0.0,10.744492742806656,0.0,0.0,0.0,0.0,0.0
121,3D_truss,5,12,-11.618039855432862,0.0,0.0,0.0,0.0,0.0,11.618039855432862,0.0,0.0,0.0,0.0,0.0
122,3D_truss,3,10,5.938304744376985,0.0,0.0,0.0,0.0,0.0,-5.938304744376985,0.0,0.0,0.0,0.0,0.0
123,3D_truss,5,10,2.79856875586637,0.0,0.0,0.0,0.0,0.0,-2.79856875586637,0.0,0.0,0.0,0.0,0.0
201,3D_truss,13,14,-8.530831292144542,0.0,0.0,0.0,0.0,0.0,8.530831292144542,0.0,0.0,0.0,0.0,0.0
202,3D_truss,14,15,-7.152382519864869,0.0,0.0,0.0,0.0,0.0,7.152382519864869,0.0,0.0,0.0,0.0,0.0
203,3D_truss,15,16,-17.320565135978466,0.0,0.0,0.0,0.0,0.0,17.320565135978466,0.0,0.0,0.0,0.0,0.0
204,3D_truss,16,17,-17.300527090879747,0.0,0.0,0.0,0.0,0.0,17.300527090879747,0.0,0.0,0.0,0.0,0.0
205,3D_truss,17,18,-8.651968567490492,0.0,0.0,0.0,0.0,0.0,8.651968567490492,0.0,0.0,0.0,0.0,0.0
206,3D_truss,18,19,-10.096636036113438,0.0,0.0,0.0,0.0,0.0,10.096636036113438,0.0,0.0,0.0,0.0,0.0
207,3D_truss,13,20,12.731735215591069,0.0,0.0,0.0,0.0,0.0,-12.731735215591069,0.0,0.0,0.0,0.0,0.0
208,3D_truss,20,21,12.128810434187365,0.0,0.0,0.0,0.0,0.0,-12.128810434187365,0.0,0.0,0.0,0.0,0.0
209,3D_truss,21,22,12.104882608296975,0.0,0.0,0.0,0.0,0.0,-12.104882608296975,0.0,0.0,0.0,0.0,0.0
210,3D_truss,22,23,13.735365330612538,0.0,0.0,0.0,0.0,0.0,-13.735365330612538,0.0,0.0,0.0,0.0,0.0
211,3D_truss,23,24,13.743754078098549,0.0,0.0,0.0,0.0,0.0,-13.743754078098549,0.0,0.0,0.0,0.0,0.0
212,3D_truss,19,24,15.01281170920782,0.0,0.0,0.0,0.0,0.0,-15.01281170920782,0.0,0.0,0.0,0.0,0.0
213,3D_truss,14,20,-1.3789822391017168,0.0,0.0,0.0,0.0,0.0,1.3789822391017168,0.0,0.0,0.0,0.0,0.0
214,3D_truss,15,21,0.05000000000003979,0.0,0.0,0.0,0.0,0.0,-0.05000000000003979,0.0,0.0,0.0,0.0,0.0
215,3D_truss,16,22,-6.434585375929146,0.0,0.0,0.0,0.0,0.0,6.434585375929146,0.0,0.0,0.0,0.0,0.0
216,3D_truss,17,23,0.049999999999954525,0.0,0.0,0.0,0.0,0.0,-0.049999999999954525,0.0,0.0,0.0,0.0,0.0
217,3D_truss,18,24,-2.4434790007819203,0.0,0.0,0.0,0.0,0.0,2.4434790007819203,0.0,0.0,0.0,0.0,0.0
218,3D_truss,15,20,-10.800801350612787,0.0,0.0,0.0,0.0,0.0,10.800801350612787,0.0,0.0,0.0,0.0,0.0
221,3D_truss,17,24,-11.643834108022268,0.0,0.0,0.0,0.0,0.0,11.643834108022268,0.0,0.0,0.0,0.0,0.0
222,3D_truss,15,22,5.966130024209619,0.0,0.0,0.0,0.0,0.0,-5.966130024209619,0.0,0.0,0.0,0.0,0.0
223,3D_truss,17,22,2.7962640490684976,0.0,0.0,0.0,0.0,0.0,-2.7962640490684976,0.0,0.0,0.0,0.0,0.0
301,3D_frame,2,25,-0.03567428028393426,1.3760501229469047,1.304010058385049,-0.3701330003323294,-5.0158374266816095,4.597639588518445,0.03567428028393426,-1.3760501229469047,-1.2040100583850488,0.3701330003323294,-1.337546198576926,2.2826110262160784
302,3D_frame,25,26,0.03569855862566905,-0.17265906059665692,0.2139628557538728,-0.08677595299214907,1.3454834513648752,-1.58820884767227,-0.03569855862566905,0.17265906059665692,-0.11396285575387281,0.08677595299214907,-2.2486310634675797,0.724913544688981
303,3D_frame,26,27,0.035701743250751046,0.1736587771322231,-0.1388712164094315,0.08651704703008523,2.24863615115864,-0.7248857120572794,-0.035701743250751046,-0.1736587771322231,0.23887121640943149,-0.08651704703008523,-1.3876134024448656,1.5931795977183967
304,3D_frame,27,14,-0.035726021592485835,-1.3784487722796739,-1.2289822391017367,0.3703919062943932,1.3797525109220221,-2.2880423607819034,0.035726021592485835,1.3784487722796739,1.3289822391017367,-0.3703919062943932,4.931825351253328,-4.604201500616467
305,3D_frame,3,28,0.02137639359522624,1.1051730656486267,3.456806067833443,-0.3830968481481317,-13.386225802819704,3.5161729396941057,-0.02137639359522624,-1.1051730656486267,-3.3568060678334435,0.3830968481481317,-3.731137869680803,2.009692388549026
306,3D_frame,28,29,-0.021404957568997577,-0.12441018477023746,0.44539456461272947,-0.1201534835702931,3.7361472294473024,-1.0630649072081884,0.021404957568997577,0.12441018477023746,-0.3453945646127295,0.1201534835702931,-5.796453385844283,0.44101398335699926
307,3D_frame,29,30,-0.021404691824335388,0.12575797654414433,-0.36647581924351585,0.11991446647622805,5.796451078568926,-0.440952271979862,0.021404691824335388,-0.12575797654414433,0.46647581924351583,-0.11991446647622805,-3.7974053156847085,1.0697421547005863
