node_id,x,y,z,Rx,Ry,Rz,Mx,My,Mz,reaction_force_mag,reaction_moment_mag
1,0.0,0.0,0.0,-0.031959786862145734,0.0,9.40544204479379,0.0,0.0,0.0,9.405496344475983,0.0
2,18.176,0.0,0.0,0.0,-0.03567428028393426,0.0,5.0158374266816095,-0.3701330003323294,4.597639588518444,0.03567428028393426,6.814243414697412
3,36.352,0.0,0.0,0.0,0.02137639359522624,0.0,13.386225802819704,-0.3830968481481317,3.5161729396941075,0.02137639359522624,13.845623011658743
4,54.528,0.0,0.0,0.0,0.02764368138751771,0.0,25.532894617258858,-0.2625494411559881,0.06157292150176552,0.02764368138751771,25.534318690142488
5,72.704,0.0,0.0,0.0,0.022602177627842862,0.0,25.76081197975962,-0.09502418493636029,-3.3789358157402987,0.022602177627842862,25.98164103168124
6,90.88,0.0,0.0,0.0,-0.03594797232665257,0.0,9.152090319934283,-0.03685916175675351,-4.799963930879112,0.03594797232665257,10.334494160808292
7,109.055,0.0,0.0,0.0,0.0,11.117334636518287,0.0,0.0,0.0,11.117334636518287,0.0
8,18.176,0.0,20.0,0.0,4.029914895667929,0.0,0.0,0.0,0.0,4.029914895667929,0.0
9,36.352,0.0,20.0,0.0,8.112123133770767,0.0,0.0,0.0,0.0,8.112123133770767,0.0
10,54.528,0.0,20.0,0.0,8.649910383865741,0.0,0.0,0.0,0.0,8.649910383865741,0.0
11,72.704,0.0,20.0,0.0,9.198515466060483,0.0,0.0,0.0,0.0,9.198515466060483,0.0
12,90.88,0.0,20.0,0.0,4.584435878408692,0.0,0.0,0.0,0.0,4.584435878408692,0.0
13,0.0,20.0,0.0,0.031959786862277184,0.0,9.472085254188848,0.0,0.0,0.0,9.472139171834316,0.0
14,18.176,20.0,0.0,0.0,0.035726021592485835,0.0,-4.931825351253328,-0.3703919062943932,-4.604201500616467,0.035726021592485835,6.75712682416072
15,36.352,20.0,0.0,0.0,-0.021433255798106725,0.0,-13.263730560339829,-0.38333586524219676,-3.5253950517376174,0.021433255798106725,13.729599594805734
16,54.528,20.0,0.0,0.0,-0.027778939786050002,0.0,-25.389146494687072,-0.2625569860978755,-0.061097477740460704,0.027778939786050002,25.390577559429715
17,72.704,20.0,0.0,0.0,-0.022731503525295547,0.0,-25.635374381682215,-0.09481797323811458,3.3889272623046267,0.022731503525295547,25.85858151806184
18,90.88,20.0,0.0,0.0,0.036217677516966425,0.0,-9.058863065582946,-0.036644655349633605,4.816307342847486,0.036217677516966425,10.259686120565052
19,109.055,20.0,0.0,0.0,0.0,11.160466064498959,0.0,0.0,0.0,11.160466064498959,0.0
20,18.176,20.0,20.0,0.0,-4.069226083770483,0.0,0.0,0.0,0.0,4.069226083770483,0.0
21,36.352,20.0,20.0,0.0,-8.086158825106052,0.0,0.0,0.0,0.0,8.086158825106052,0.0
22,54.528,20.0,20.0,0.0,-8.637539495021056,0.0,0.0,0.0,0.0,8.637539495021056,0.0
23,72.704,20.0,20.0,0.0,-9.178102332836309,0.0,0.0,0.0,0.0,9.178102332836309,0.0
24,90.88,20.0,20.0,0.0,-4.6038730210397105,0.0,0.0,0.0,0.0,4.6038730210397105,0.0
