elem_id,type,node_i,node_j,L,axial_i_local,axial_j_local,axial_abs_max,shear_y_abs_max,shear_z_abs_max,torsion_abs_max,moment_y_abs_max,moment_z_abs_max,moment_abs_max,stress_axial_i,stress_axial_j,stress_axial_abs_max
101,3D_truss,1,2,18.176,-5.579070997768267,5.579070997768267,5.579070997768267,0.0,0.0,0.0,0.0,0.0,0.0,-5.579070997768267,5.579070997768267,5.579070997768267
102,3D_truss,2,3,18.176,-4.775123691771422,4.775123691771422,4.775123691771422,0.0,0.0,0.0,0.0,0.0,0.0,-4.775123691771422,4.775123691771422,4.775123691771422
103,3D_truss,3,4,18.176000000000002,-9.394335738257022,9.394335738257022,9.394335738257022,0.0,0.0,0.0,0.0,0.0,0.0,-9.394335738257022,9.394335738257022,9.394335738257022
104,3D_truss,4,5,18.175999999999995,-9.521275230190618,9.521275230190618,9.521275230190618,0.0,0.0,0.0,0.0,0.0,0.0,-9.521275230190618,9.521275230190618,9.521275230190618
105,3D_truss,5,6,18.176000000000002,-5.382178289205449,5.382178289205449,5.382178289205449,0.0,0.0,0.0,0.0,0.0,0.0,-5.382178289205449,5.382178289205449,5.382178289205449
106,3D_truss,6,7,18.17500000000001,-6.2146881093598125,6.2146881093598125,6.2146881093598125,0.0,0.0,0.0,0.0,0.0,0.0,-6.2146881093598125,6.2146881093598125,6.2146881093598125
107,3D_truss,1,8,27.02530251449556,8.29533898902606,-8.29533898902606,8.29533898902606,0.0,0.0,0.0,0.0,0.0,0.0,8.29533898902606,-8.29533898902606,8.29533898902606
108,3D_truss,8,9,18.176,7.7681446281938555,-7.7681446281938555,7.7681446281938555,0.0,0.0,0.0,0.0,0.0,0.0,7.7681446281938555,-7.7681446281938555,7.7681446281938555
109,3D_truss,9,10,18.176000000000002,8.524288863736466,-8.524288863736466,8.524288863736466,0.0,0.0,0.0,0.0,0.0,0.0,8.524288863736466,-8.524288863736466,8.524288863736466
110,3D_truss,10,11,18.175999999999995,8.670048703646524,-8.670048703646524,8.670048703646524,0.0,0.0,0.0,0.0,0.0,0.0,8.670048703646524,-8.670048703646524,8.670048703646524
111,3D_truss,11,12,18.176000000000002,8.020749722972063,-8.020749722972063,8.020749722972063,0.0,0.0,0.0,0.0,0.0,0.0,8.020749722972063,-8.020749722972063,8.020749722972063
112,3D_truss,7,12,27.02462996971467,9.240695820227494,-9.240695820227494,9.240695820227494,0.0,0.0,0.0,0.0,0.0,0.0,9.240695820227494,-9.240695820227494,9.240695820227494
113,3D_truss,2,8,20.0,-1.1298382049745683,1.1298382049745683,1.1298382049745683,0.0,0.0,0.0,0.0,0.0,0.0,-1.1298382049745683,1.1298382049745683,1.1298382049745683
114,3D_truss,3,9,20.0,1.0851408945833327,-1.0851408945833327,1.0851408945833327,0.0,0.0,0.0,0.0,0.0,0.0,1.0851408945833327,-1.0851408945833327,1.0851408945833327
115,3D_truss,4,10,20.0,-1.2472263717520775,1.2472263717520775,1.2472263717520775,0.0,0.0,0.0,0.0,0.0,0.0,-1.2472263717520775,1.2472263717520775,1.2472263717520775
116,3D_truss,5,11,20.0,0.9318075092320441,-0.9318075092320441,0.9318075092320441,0.0,0.0,0.0,0.0,0.0,0.0,0.9318075092320441,-0.9318075092320441,0.9318075092320441
117,3D_truss,6,12,20.0,-2.166506713921777,2.166506713921777,2.166506713921777,0.0,0.0,0.0,0.0,0.0,0.0,-2.166506713921777,2.166506713921777,2.166506713921777
118,3D_truss,3,8,27.02530251449556,-6.7686280249324255,6.7686280249324255,6.7686280249324255,0.0,0.0,0.0,0.0,0.0,0.0,-6.7686280249324255,6.7686280249324255,6.7686280249324255
119,3D_truss,4,9,27.02530251449556,-1.4663130473482582,1.4663130473482582,1.4663130473482582,0.0,0.0,0.0,0.0,0.0,0.0,-1.4663130473482582,1.4663130473482582,1.4663130473482582
120,3D_truss,4,11,27.025302514495557,-1.2591189911137022,1.2591189911137022,1.2591189911137022,0.0,0.0,0.0,0.0,0.0,0.0,-1.2591189911137022,1.2591189911137022,1.2591189911137022
121,3D_truss,5,12,27.02530251449556,-6.313400820376973,6.313400820376973,6.313400820376973,0.0,0.0,0.0,0.0,0.0,0.0,-6.313400820376973,6.313400820376973,6.313400820376973
122,3D_truss,3,10,27.02530251449556,0.983995312077198,-0.983995312077198,0.983995312077198,0.0,0.0,0.0,0.0,0.0,0.0,0.983995312077198,-0.983995312077198,0.983995312077198
123,3D_truss,5,10,27.025302514495557,0.7013381879556988,-0.7013381879556988,0.7013381879556988,0.0,0.0,0.0,0.0,0.0,0.0,0.7013381879556988,-0.7013381879556988,0.7013381879556988
201,3D_truss,13,14,18.176,-5.579070997768283,5.579070997768283,5.579070997768283,0.0,0.0,0.0,0.0,0.0,0.0,-5.579070997768283,5.579070997768283,5.579070997768283
