node_id,x,y,z,Rx,Ry,Rz,Mx,My,Mz,reaction_force_mag,reaction_moment_mag
1,0.0,0.0,0.0,6.039613253960852e-14,0.0,6.138942559164098,0.0,0.0,0.0,6.138942559164098,0.0
2,18.176,0.0,0.0,0.0,-0.02020094325652384,0.0,4.400813405430242,-0.33321493925585643,2.681633662728833,0.02020094325652384,5.164237593898857
3,36.352,0.0,0.0,0.0,0.012411831105492285,0.0,12.415926795811714,-0.30015476369619076,1.896988632845542,0.012411831105492285,12.563594109739062
4,54.528,0.0,0.0,0.0,0.015153495836697761,0.0,12.686068349774473,-0.22894877050866416,0.03807749393241089,0.015153495836697761,12.688191266299985
5,72.704,0.0,0.0,0.0,0.013042435459881402,0.0,12.520777565211006,-0.1729368337268103,-1.8479721278948897,0.013042435459881402,12.657597677735971
6,90.88,0.0,0.0,0.0,-0.02040681914554763,0.0,8.414813883772865,-0.1277106984428474,-2.772705526039452,0.02040681914554763,8.860773028080736
7,109.055,0.0,0.0,0.0,0.0,6.83872144083611,0.0,0.0,0.0,6.83872144083611,0.0
8,18.176,0.0,20.0,0.0,2.600352560147325,0.0,0.0,0.0,0.0,2.600352560147325,0.0
9,36.352,0.0,20.0,0.0,5.4538211078108265,0.0,0.0,0.0,0.0,5.4538211078108265,0.0
10,54.528,0.0,20.0,0.0,5.755729566504897,0.0,0.0,0.0,0.0,5.755729566504897,0.0
11,72.704,0.0,20.0,0.0,5.587172033594289,0.0,0.0,0.0,0.0,5.587172033594289,0.0
12,90.88,0.0,20.0,0.0,2.6849110147529123,0.0,0.0,0.0,0.0,2.6849110147529123,0.0
13,0.0,20.0,0.0,3.552713678800501e-14,0.0,6.138942559164082,0.0,0.0,0.0,6.138942559164082,0.0
14,18.176,20.0,0.0,0.0,0.02020094325652382,0.0,-4.400813405430242,-0.33321493925585616,-2.681633662728827,0.02020094325652382,5.1642375938988545
15,36.352,20.0,0.0,0.0,-0.012411831105492268,0.0,-12.415926795811828,-0.3001547636961903,-1.8969886328455359,0.012411831105492268,12.563594109739173
16,54.528,20.0,0.0,0.0,-0.015153495836697695,0.0,-12.686068349774445,-0.22894877050866422,-0.038077493932412665,0.015153495836697695,12.688191266299956
17,72.704,20.0,0.0,0.0,-0.013042435459881303,0.0,-12.52077756521112,-0.17293683372681043,1.8479721278948773,0.013042435459881303,12.657597677736083
18,90.88,20.0,0.0,0.0,0.020406819145547445,0.0,-8.414813883772908,-0.12771069844284738,2.772705526039429,0.020406819145547445,8.860773028080768
19,109.055,20.0,0.0,0.0,0.0,6.8387214408360535,0.0,0.0,0.0,6.8387214408360535,0.0
20,18.176,20.0,20.0,0.0,-2.6003525601473108,0.0,0.0,0.0,0.0,2.6003525601473108,0.0
21,36.352,20.0,20.0,0.0,-5.45382110781083,0.0,0.0,0.0,0.0,5.45382110781083,0.0
22,54.528,20.0,20.0,0.0,-5.755729566504905,0.0,0.0,0.0,0.0,5.755729566504905,0.0
23,72.704,20.0,20.0,0.0,-5.587172033594304,0.0,0.0,0.0,0.0,5.587172033594304,0.0
24,90.88,20.0,20.0,0.0,-2.684911014752899,0.0,0.0,0.0,0.0,2.684911014752899,0.0
