node_id,x,y,z,ux,uy,uz,rx,ry,rz,disp_mag,rot_mag
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,10.0,0.0,0.0,0.0,-0.011494252873563216,0.0,0.0,-0.0,-0.0017241379310344825,0.011494252873563216,0.0017241379310344825
