elem_id,type,node_i,node_j,L,axial_i_local,axial_j_local,axial_abs_max,shear_y_abs_max,shear_z_abs_max,torsion_abs_max,moment_y_abs_max,moment_z_abs_max,moment_abs_max,stress_axial_i,stress_axial_j,stress_axial_abs_max
101,3D_truss,1,2,18.176,-0.7805151517795088,0.7805151517795088,0.7805151517795088,0.0,0.0,0.0,0.0,0.0,0.0,-0.7805151517795088,0.7805151517795088,0.7805151517795088
102,3D_truss,2,3,18.176,-0.7064479503137224,0.7064479503137224,0.7064479503137224,0.0,0.0,0.0,0.0,0.0,0.0,-0.7064479503137224,0.7064479503137224,0.7064479503137224
103,3D_truss,3,4,18.176000000000002,-1.4079906299452327,1.4079906299452327,1.4079906299452327,0.0,0.0,0.0,0.0,0.0,0.0,-1.4079906299452327,1.4079906299452327,1.4079906299452327
104,3D_truss,4,5,18.175999999999995,-1.427077357354186,1.427077357354186,1.427077357354186,0.0,0.0,0.0,0.0,0.0,0.0,-1.427077357354186,1.427077357354186,1.427077357354186
105,3D_truss,5,6,18.176000000000002,-0.7940108492592861,0.7940108492592861,0.7940108492592861,0.0,0.0,0.0,0.0,0.0,0.0,-0.7940108492592861,0.7940108492592861,0.7940108492592861
106,3D_truss,6,7,18.17500000000001,-0.8712717902952916,0.8712717902952916,0.8712717902952916,0.0,0.0,0.0,0.0,0.0,0.0,-0.8712717902952916,0.8712717902952916,0.8712717902952916
107,3D_truss,1,8,27.02530251449556,1.1605225623893363,-1.1605225623893363,1.1605225623893363,0.0,0.0,0.0,0.0,0.0,0.0,1.1605225623893363,-1.1605225623893363,1.1605225623893363
108,3D_truss,8,9,18.176,1.4187655108631096,-1.4187655108631096,1.4187655108631096,0.0,0.0,0.0,0.0,0.0,0.0,1.4187655108631096,-1.4187655108631096,1.4187655108631096
109,3D_truss,9,10,18.176000000000002,1.5338261747077415,-1.5338261747077415,1.5338261747077415,0.0,0.0,0.0,0.0,0.0,0.0,1.5338261747077415,-1.5338261747077415,1.5338261747077415
110,3D_truss,10,11,18.175999999999995,1.5602411266552032,-1.5602411266552032,1.5602411266552032,0.0,0.0,0.0,0.0,0.0,0.0,1.5602411266552032,-1.5602411266552032,1.5602411266552032
111,3D_truss,11,12,18.176000000000002,1.4655635049265248,-1.4655635049265248,1.4655635049265248,0.0,0.0,0.0,0.0,0.0,0.0,1.4655635049265248,-1.4655635049265248,1.4655635049265248
112,3D_truss,7,12,27.02462996971467,1.2955046897266094,-1.2955046897266094,1.2955046897266094,0.0,0.0,0.0,0.0,0.0,0.0,1.2955046897266094,-1.2955046897266094,1.2955046897266094
113,3D_truss,2,8,20.0,-0.15654136520235884,0.15654136520235884,0.15654136520235884,0.0,0.0,0.0,0.0,0.0,0.0,-0.15654136520235884,0.15654136520235884,0.15654136520235884
114,3D_truss,3,9,20.0,0.12660724454734762,-0.12660724454734762,0.12660724454734762,0.0,0.0,0.0,0.0,0.0,0.0,0.12660724454734762,-0.12660724454734762,0.12660724454734762
115,3D_truss,4,10,20.0,-0.22700875778499885,0.22700875778499885,0.22700875778499885,0.0,0.0,0.0,0.0,0.0,0.0,-0.22700875778499885,0.22700875778499885,0.22700875778499885
